,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT
6252,1,0,4,73,2,0,0,0,0,0,1,0,0,3,1,1,0,0,1,0,16,37,12,0,0,0,0.225,0.08,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
4684,1,0,4,43,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,15,21,0,0,0,0,0.1319796954,0.6388888889,0,1,0,1,0,0.0152284264,0,0,0,0,0,1,0,0,1,1,-1,0,0,1
1731,2,0,3,57,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,22,28,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
4742,1,0,2,92,9,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,11,74,0,0,0,0,0.1138211382,0.989010989,1,1,1,0,0,0.0894308943,0,0,0,0,1,0,0,0,1,-1,-1,1,-1,1
4521,2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,0,0,0,0,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1
6340,3,1,3,44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,22,0,0,0,0,0.0406504065,0.1846153846,0,1,1,0,1,0.0081300813,0,0,0,0,1,1,0,0,1,1,1,-1,0,1
576,3,1,2,48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,18,9,0,0,0,0.1271186441,0.3043478261,0,1,1,1,1,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
5202,2,1,5,51,0,0,0,0,0,0,0,0,0,13,1,1,0,0,1,0,17,27,0,0,0,0,0.537037037,0.4680851064,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
6363,3,1,2,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,18,0,0,0,0,0.0169491525,0.1834862385,0,1,0,1,0,0.0423728814,0,0,0,0,0,1,0,0,1,1,1,0,0,1
439,3,1,2,69,0,0,0,0,0,0,2,1,0,7,1,0,0,0,0,0,20,18,23,0,0,0,0.0076335878,0.0263157895,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2750,6,1,4,81,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,17,57,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,-1,1,1,1,1
7487,2,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0.0375375375,1.0,0,1,1,0,1,0.0015015015,0,0,0,0,0,1,0,0,1,1,-1,-1,-1,1
5272,2,0,1,47,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,9,13,17,0,0,0,0.4705882353,0.5263157895,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5653,1,0,2,47,1,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,22,11,6,0,0,0,0.012145749,0.2,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3999,3,1,5,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,30,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
6033,4,0,10,110,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,19,84,0,0,1,0,0.0,0.125,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1
582,1,0,5,97,8,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,18,72,0,0,0,0,0.1595744681,0.2954545455,0,1,0,1,0,0.0106382979,0,0,0,0,0,1,0,0,1,-1,0,0,0,1
9930,1,0,4,63,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,46,0,0,0,0,0.0648148148,0.1486486486,0,1,1,0,1,0.0185185185,0,0,0,0,0,0,0,1,1,0,1,-1,1,1
7051,3,1,8,102,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,22,73,0,0,0,0,0.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,-1,-1,0,1,1
8158,3,1,2,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,29,19,0,0,1,0,0.8888888889,0.0,0,1,0,0,0,0.1111111111,0,0,0,0,0,0,0,0,1,0,1,1,1,-1
9896,3,1,2,64,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,17,21,18,0,0,0,0.1071428571,0.2631578947,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
2249,2,0,2,62,0,0,0,0,0,0,3,2,0,5,1,1,0,0,1,0,14,16,24,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
4640,2,0,4,59,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,41,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
