iter	Passed	Remaining
0	22	4426
1	44	4395
2	65	4288
3	86	4236
4	106	4160
5	126	4103
6	147	4074
7	169	4066
8	188	4009
9	209	3985
10	228	3932
11	249	3902
12	269	3874
13	289	3847
14	309	3818
15	328	3777
16	346	3727
17	363	3677
18	380	3627
19	399	3595
20	418	3565
21	438	3549
22	457	3523
23	476	3493
24	495	3468
25	515	3449
26	533	3420
27	552	3396
28	571	3370
29	589	3343
30	607	3313
31	626	3287
32	644	3263
33	663	3237
34	681	3212
35	699	3186
36	717	3161
37	735	3135
38	754	3113
39	772	3089
40	790	3067
41	808	3042
42	827	3022
43	847	3003
44	868	2992
45	900	3014
46	930	3029
47	957	3033
48	982	3028
49	1009	3029
50	1032	3017
51	1054	3001
52	1075	2984
53	1095	2962
54	1114	2937
55	1134	2917
56	1156	2901
57	1177	2882
58	1198	2863
59	1219	2846
60	1245	2837
61	1271	2829
62	1296	2818
63	1320	2806
64	1346	2795
65	1369	2780
66	1390	2760
67	1409	2735
68	1427	2710
69	1447	2687
70	1468	2668
71	1490	2650
72	1514	2634
73	1536	2616
74	1558	2597
75	1579	2577
76	1606	2565
77	1632	2552
78	1659	2541
79	1685	2527
80	1708	2509
81	1726	2484
82	1743	2458
83	1761	2432
84	1779	2407
85	1797	2383
86	1815	2358
87	1834	2334
88	1852	2310
89	1870	2286
90	1890	2263
91	1909	2241
92	1928	2218
93	1948	2197
94	1968	2176
95	1988	2153
96	2007	2131
97	2024	2107
98	2041	2082
99	2059	2059
100	2076	2035
101	2094	2012
102	2112	1989
103	2132	1968
104	2149	1944
105	2167	1921
106	2183	1898
107	2202	1875
108	2219	1853
109	2237	1830
110	2256	1809
111	2273	1786
112	2291	1763
113	2308	1741
114	2326	1719
115	2344	1697
116	2363	1676
117	2382	1655
118	2403	1635
119	2421	1614
120	2438	1592
121	2456	1570
122	2477	1550
123	2500	1532
124	2524	1514
125	2548	1496
126	2569	1476
127	2588	1456
128	2608	1435
129	2628	1415
130	2648	1394
131	2669	1375
132	2690	1355
133	2715	1337
134	2739	1319
135	2767	1302
136	2796	1286
137	2823	1268
138	2850	1251
139	2875	1232
140	2899	1213
141	2920	1192
142	2940	1171
143	2958	1150
144	2977	1129
145	2994	1107
146	3012	1086
147	3030	1064
148	3050	1044
149	3070	1023
150	3094	1004
151	3120	985
152	3145	966
153	3171	947
154	3193	927
155	3212	906
156	3230	884
157	3247	863
158	3266	842
159	3284	821
160	3302	799
161	3319	778
162	3337	757
163	3360	737
164	3384	717
165	3406	697
166	3424	676
167	3443	655
168	3460	634
169	3479	613
170	3497	593
171	3516	572
172	3536	551
173	3555	531
174	3574	510
175	3593	490
176	3614	469
177	3632	449
178	3652	428
179	3672	408
180	3690	387
181	3709	366
182	3727	346
183	3739	325
184	3758	304
185	3765	283
186	3785	263
187	3804	242
188	3822	222
189	3843	202
190	3863	182
191	3882	161
192	3902	141
193	3920	121
194	3941	101
195	3960	80
196	3979	60
197	3999	40
198	4017	20
199	4020	0
