,CLASS_LABEL
6252,0
4684,0
1731,1
4742,0
4521,1
6340,0
576,0
5202,0
6363,0
439,0
2750,1
7487,0
5272,0
5653,0
3999,1
6033,1
582,0
9930,0
7051,1
8158,1
9896,0
2249,0
4640,1
9485,0
4947,1
9920,0
1963,0
8243,1
6590,1
8847,1
321,1
2678,1
4625,1
4949,0
8328,0
3337,0
5589,0
251,1
3973,0
6630,0
5547,1
35,1
8362,1
1513,1
9317,0
39,0
4819,1
3465,1
1760,0
2304,0
3723,1
8284,0
4993,0
8127,1
3032,0
7938,0
3039,0
9655,0
2545,1
2592,1
1188,0
7966,0
6077,1
107,0
1315,0
8187,0
2753,0
9753,1
6231,0
2876,1
5323,1
799,1
3570,0
2894,0
2927,0
8178,0
971,0
6687,0
8575,1
2020,0
9054,1
952,1
5359,0
3857,1
5861,1
3145,1
3305,0
3006,1
9001,0
7770,1
7438,1
7942,0
9238,1
1056,1
3154,0
3787,0
9189,0
7825,0
7539,1
7231,1
764,1
5019,0
4903,1
8093,0
6843,1
2165,0
1862,1
7850,1
9123,0
2340,0
5527,0
6743,0
4003,1
1123,1
8709,0
4049,1
7640,0
765,0
2344,0
4071,1
7216,0
4216,0
7952,0
5970,0
3350,1
4695,1
3399,0
4081,1
9149,0
1224,1
6292,1
3122,0
510,1
5794,1
8181,0
9417,0
96,0
6681,0
1512,0
8791,0
119,1
7791,0
6517,0
33,1
7887,0
6830,1
5421,0
1068,1
1347,1
4747,0
6005,0
6039,1
3817,0
8446,1
5269,0
6897,1
5309,1
31,1
5674,1
4386,1
29,0
4202,1
7507,0
735,1
2067,1
106,1
9644,0
8894,1
8020,0
2232,0
993,1
9412,1
7058,0
6789,0
360,1
304,1
2627,1
8965,1
4513,0
5910,1
8313,0
3100,1
5703,0
3898,1
5440,0
7930,1
621,1
7235,1
2498,0
713,1
8403,1
2855,1
4269,0
2908,1
8080,0
4516,0
1261,1
3160,0
970,0
3912,1
5198,0
8846,1
259,1
3790,1
9202,0
487,1
7907,1
518,1
8342,0
311,0
3231,1
7932,0
7457,1
9783,1
5183,0
8076,0
6501,0
6790,1
7772,1
2737,1
7841,0
6261,1
8205,0
1247,1
9335,0
4194,0
8000,1
7377,1
3434,0
5381,0
958,1
416,1
5741,1
6727,1
4381,1
5196,1
1112,0
2688,1
6472,1
8819,0
7807,1
3410,1
80,0
4613,0
1373,1
1509,0
6442,0
3070,0
3015,1
4822,0
7821,1
92,0
9420,0
6599,0
4442,0
7601,1
3834,0
9701,1
4321,0
3393,1
4751,0
7228,1
9190,1
2360,0
1147,0
5665,1
8074,0
4942,1
3662,1
1562,0
4112,1
9049,1
9275,0
8537,0
794,1
5853,1
7618,0
1593,0
7417,0
5266,0
7146,1
88,0
8694,0
9731,0
9445,1
6753,1
3501,0
