,CLASS_LABEL
9254,1
1561,1
1670,0
6087,1
6669,0
5933,0
8829,1
7945,1
3508,1
2002,1
5866,1
168,0
2588,0
5905,1
9529,1
6384,0
7824,0
9779,0
4629,0
8560,1
9291,1
6874,0
6521,1
8979,0
6647,1
9825,0
210,1
5278,1
1919,0
718,0
4868,0
7834,1
1298,0
9193,0
4617,0
3128,0
9795,0
3979,1
9924,1
8317,0
4393,1
1287,0
4355,1
7013,0
3885,1
5749,0
9169,0
2407,1
2013,0
5153,0
8551,1
4376,0
8822,0
4273,1
5825,1
6699,0
7243,1
449,1
2227,0
5756,0
810,1
4180,0
9000,0
5438,0
7533,0
6369,1
8416,0
1477,1
1790,0
2008,1
682,0
2816,0
9431,1
3774,0
6495,1
8878,0
7361,0
8366,0
7474,0
46,1
30,1
8250,1
6935,0
1468,1
1665,0
1416,0
6480,0
4852,1
2470,1
4373,0
8524,1
429,0
5244,0
2119,1
385,0
1945,1
4224,1
473,0
2129,1
6556,0
6998,1
1055,1
3274,0
4961,0
5363,0
5816,1
811,1
4573,0
6137,0
2388,1
9648,1
6225,0
111,0
8909,1
1745,1
7851,0
1452,1
319,0
8593,1
3333,1
1922,1
5865,1
9528,0
3685,1
4275,1
4889,0
5225,1
7472,1
3605,1
1052,1
4156,0
9676,1
99,0
7508,0
1456,0
7688,1
4004,1
6866,0
4509,0
3299,0
3799,1
4281,1
9051,0
6462,1
7912,0
1414,0
540,0
5815,1
8199,1
3680,1
754,1
4196,0
2650,0
4522,1
9519,1
3118,0
3728,1
3886,0
7107,1
8068,0
7325,1
8483,1
8767,0
6500,1
8426,0
7963,1
601,0
9249,1
8919,1
6814,1
5411,0
8747,1
5522,0
1044,1
7334,0
1557,1
3739,0
3522,1
180,0
2115,0
1699,1
1379,0
7229,1
9143,0
618,0
3181,0
9851,1
1600,1
5963,1
1615,1
5920,1
9591,1
3891,0
2083,1
4574,0
5594,1
5121,0
4587,0
4902,1
8252,0
5916,1
5129,0
8334,1
1918,0
8330,1
5707,1
5384,1
6336,0
2054,0
7612,0
9209,0
3963,1
1126,0
3428,0
4601,1
3721,1
2389,1
1322,1
1603,1
7224,0
7425,1
4336,0
5593,0
4411,1
5858,1
9343,1
3991,0
6079,0
1559,1
4682,0
7557,1
3772,1
8779,0
3457,1
8383,1
1354,1
45,1
9872,1
748,1
7917,1
4241,0
5628,0
4657,1
4238,1
3460,1
7381,0
5549,0
7075,0
5838,1
8091,0
5474,1
3614,0
7501,0
7053,0
7367,1
8019,0
9638,1
9055,0
664,0
2319,1
3542,0
3677,0
9599,1
3091,1
675,0
8676,0
4884,0
8079,0
1962,0
1840,0
7168,0
9898,0
3538,0
8026,0
4866,0
4174,0
8088,0
4377,0
6211,0
4766,1
411,1
613,1
6126,1
5210,1
1430,0
2425,0
8841,0
3833,1
4718,1
7185,1
1417,1
7199,1
604,1
1272,1
3964,0
6367,1
8746,1
247,1
9226,0
1982,1
2835,0
5375,0
199,1
485,0
6083,1
8956,1
455,1
9798,1
8826,1
6515,1
1721,1
7050,0
6382,0
8165,1
5767,0
5809,1
4626,0
862,0
2094,1
947,0
5641,0
1444,1
1280,1
3110,1
8952,0
7609,1
5135,1
3016,1
2302,1
2004,0
4580,1
8704,1
1005,0
5138,0
4317,0
6558,1
4387,1
2132,1
4265,1
2057,1
5386,0
229,0
2889,1
4472,0
6064,0
7924,0
7649,0
8381,0
209,1
2758,1
8471,1
2948,0
7116,1
6330,0
1728,1
4176,1
337,0
4984,0
6878,1
7248,0
8452,1
